Vertex_Id,Label,1_DegreeCentrality,2_BetweenessCentrality,3_ClosnessCentrality,4_EigenCentrality,5_Eccentricity,8_ClusteringCoefficient,8_Triangles,10_PageRank,,,,,,,,,
0,Beak,0.098360656,0.019082596,0.346590909,0.128503519,6,0.333333333,5,0.016962207,,,,,,,,,
1,Beescratch,0.131147541,0.213324436,0.37195122,0.042091441,5,0.142857143,4,0.024657779,,,,,,,,,
2,Bumper,0.06557377,0.009072812,0.282407407,0.039757133,7,0.166666667,1,0.013335734,,,,,,,,,
3,CCL,0.049180328,0.002373797,0.308080808,0.079334476,7,0.333333333,1,0.009627335,,,,,,,,,
4,Cross,0.016393443,0,0.248979592,0.029287057,8,0,0,0.005079102,,,,,,,,,
5,DN16,0.06557377,0.0043803,0.23828125,0.006572752,7,0.5,3,0.014434748,,,,,,,,,
6,DN21,0.098360656,0.029372537,0.26754386,0.01221198,6,0.533333333,8,0.020063144,,,,,,,,,
7,DN63,0.081967213,0.118238619,0.365269461,0.04290802,5,0.2,2,0.01564572,,,,,,,,,
8,Double,0.098360656,0.022365738,0.363095238,0.143102217,6,0.266666667,4,0.017095255,,,,,,,,,
9,Feather,0.114754098,0.02089438,0.252066116,0.01222017,7,0.523809524,11,0.023470216,,,,,,,,,
10,Fish,0.081967213,0.016092021,0.312820513,0.075253464,7,0.4,4,0.015105624,,,,,,,,,
11,Five,0.016393443,0,0.248979592,0.029287057,8,0,0,0.005079102,,,,,,,,,
12,Fork,0.016393443,0,0.268722467,0.039075861,7,0,0,0.004834672,,,,,,,,,
13,Gallatin,0.131147541,0.052846328,0.271111111,0.015030415,6,0.5,14,0.026169926,,,,,,,,,
14,Grin,0.196721311,0.061972005,0.37654321,0.315781076,6,0.257575758,17,0.03213703,,,,,,,,,
15,Haecksel,0.114754098,0.033292221,0.338888889,0.164174911,6,0.238095238,5,0.019878694,,,,,,,,,
16,Hook,0.098360656,0.00330471,0.32972973,0.207993169,7,0.6,9,0.01662311,,,,,,,,,
17,Jet,0.147540984,0.114300163,0.30964467,0.017534968,6,0.222222222,8,0.031741123,,,,,,,,,
18,Jonah,0.114754098,0.0148549,0.337016575,0.202493001,7,0.523809524,11,0.019390898,,,,,,,,,
19,Knit,0.06557377,0.013314394,0.316062176,0.020682546,5,0.5,3,0.012930942,,,,,,,,,
20,Kringel,0.147540984,0.10264574,0.391025641,0.184477873,6,0.138888889,5,0.024636468,,,,,,,,,
21,MN105,0.098360656,0.012700654,0.333333333,0.207349617,7,0.533333333,8,0.016934973,,,,,,,,,
22,MN23,0.016393443,0,0.237354086,0.002438238,7,0,0,0.005417443,,,,,,,,,
23,MN60,0.049180328,0.042182786,0.333333333,0.087362023,6,0.333333333,1,0.009861996,,,,,,,,,
24,MN83,0.098360656,0.007383043,0.312820513,0.19321181,7,0.533333333,8,0.016901708,,,,,,,,,
25,Mus,0.049180328,0.001644115,0.255230126,0.005952326,6,0.666666667,2,0.011508034,,,,,,,,,
26,Notch,0.049180328,0.004362477,0.277272727,0.008949192,6,0.666666667,2,0.011213416,,,,,,,,,
27,Number1,0.081967213,0.02923686,0.316062176,0.016326687,5,0.4,4,0.017135508,,,,,,,,,
28,Oscar,0.081967213,0.066756955,0.365269461,0.068226972,5,0.3,3,0.014845201,,,,,,,,,
29,Patchback,0.147540984,0.065529282,0.322751323,0.211761095,7,0.25,9,0.026452436,,,,,,,,,
30,PL,0.081967213,0.033050461,0.322751323,0.040750651,5,0.3,3,0.015302368,,,,,,,,,
31,Quasi,0.016393443,0,0.237354086,0.002438238,7,0,0,0.005417443,,,,,,,,,
32,Ripplefluke,0.049180328,0.032786885,0.216312057,0.003864344,7,0.333333333,1,0.013313929,,,,,,,,,
33,Scabs,0.163934426,0.05716644,0.365269461,0.281097017,6,0.333333333,15,0.028416738,,,,,,,,,
34,Shmuddel,0.081967213,0.03269476,0.316062176,0.138827251,7,0.3,3,0.015916761,,,,,,,,,
35,SMN5,0.016393443,0,0.24497992,0.029437314,8,0,0,0.00491751,,,,,,,,,
36,SN100,0.114754098,0.248237196,0.417808219,0.132765506,5,0.047619048,1,0.020612335,,,,,,,,,
37,SN4,0.180327869,0.138569789,0.39869281,0.300560928,6,0.236363636,13,0.029868955,,,,,,,,,
38,SN63,0.131147541,0.045352239,0.32972973,0.196616539,7,0.285714286,8,0.023934211,,,,,,,,,
39,SN89,0.032786885,0.070516779,0.335164835,0.020875971,5,0,0,0.007766174,,,,,,,,,
40,SN9,0.131147541,0.143149518,0.40397351,0.207872631,5,0.25,7,0.021963069,,,,,,,,,
41,SN90,0.081967213,0.023251601,0.297560976,0.015262103,6,0.6,6,0.016144656,,,,,,,,,
42,SN96,0.098360656,0.029157952,0.32972973,0.080950683,6,0.333333333,5,0.017615864,,,,,,,,,
43,Stripes,0.114754098,0.062830604,0.337016575,0.19033796,7,0.238095238,5,0.021686544,,,,,,,,,
44,Thumper,0.06557377,0.012037806,0.31122449,0.07780213,7,0.166666667,1,0.012828387,,,,,,,,,
45,Topless,0.180327869,0.040670441,0.346590909,0.285003105,7,0.309090909,17,0.029507137,,,,,,,,,
46,TR120,0.032786885,0.003008467,0.256302521,0.029716245,8,0,0,0.008824553,,,,,,,,,
47,TR77,0.098360656,0.023201476,0.338888889,0.080371958,6,0.4,6,0.017337285,,,,,,,,,
48,TR82,0.016393443,0,0.232824427,0.002419847,7,0,0,0.005263258,,,,,,,,,
49,TR88,0.032786885,0.000928962,0.246963563,0.023429567,8,0,0,0.00887543,,,,,,,,,
50,TR99,0.114754098,0.033411035,0.350574713,0.217690513,7,0.238095238,5,0.019227658,,,,,,,,,
51,Trigger,0.163934426,0.084677255,0.32972973,0.210680209,7,0.244444444,11,0.031292342,,,,,,,,,
52,TSN103,0.06557377,0.019234345,0.342696629,0.129563591,6,0.333333333,2,0.012070151,,,,,,,,,
53,TSN83,0.032786885,0.001193078,0.259574468,0.033686655,8,0,0,0.008179721,,,,,,,,,
54,Upbang,0.114754098,0.099121647,0.324468085,0.023022377,5,0.380952381,8,0.021659452,,,,,,,,,
55,Vau,0.032786885,0.00087747,0.271111111,0.052109344,7,0,0,0.007492839,,,,,,,,,
56,Wave,0.032786885,0.000136612,0.213286713,0.002612314,7,0,0,0.008329736,,,,,,,,,
57,Web,0.147540984,0.084204683,0.301980198,0.017401974,6,0.361111111,13,0.030108941,,,,,,,,,
58,Whitetip,0.016393443,0,0.248979592,0.027332062,8,0,0,0.004962247,,,,,,,,,
59,Zap,0.081967213,0.020332775,0.342696629,0.111818657,6,0.3,3,0.014765351,,,,,,,,,
60,Zig,0.016393443,0,0.178362573,0.000537438,8,0,0,0.006192111,,,,,,,,,
61,Zipfel,0.049180328,0.014194983,0.301980198,0.051991172,7,0,0,0.011037303,,,,,,,,,
